surface,name,when_to_use,playbook,core_refs
api,API debug,"A user reported an API call failing, returning wrong data, or behaving unexpectedly","references/playbooks/api.md","references/core/severity-rubric.md;references/core/personas.md"
sdk,SDK debug,"A user reported the SDK throwing, hanging, or returning wrong data","references/playbooks/sdk.md","references/core/severity-rubric.md;references/core/personas.md"
cli,CLI debug,"A user reported a command failing, hanging, or producing unexpected output","references/playbooks/cli.md","references/core/severity-rubric.md;references/core/personas.md"
errors,Error UX debug,"A reported error message is unclear, unactionable, or misleading; includes user-facing migration/upgrade error friction","references/playbooks/errors.md","references/core/severity-rubric.md;references/core/personas.md"
inner-loop,Inner-loop debug,"A user reported the local dev loop being slow, flaky, or broken","references/playbooks/inner-loop.md","references/core/severity-rubric.md;references/core/personas.md"
auth,Auth debug,"A user reported auth failing, token rotation breaking, or scope errors","references/playbooks/auth.md","references/core/severity-rubric.md;references/core/personas.md"
plugin,Plugin debug,"A user reported a plugin/extension not loading or behaving unexpectedly","references/playbooks/plugin.md","references/core/severity-rubric.md;references/core/personas.md"
ide,IDE debug,"A user reported autocomplete, LSP, or hover docs being wrong or missing","references/playbooks/ide.md","references/core/severity-rubric.md;references/core/personas.md"
perf,Perf debug,"A user reported install, startup, or build/test being too slow","references/playbooks/perf.md","references/core/severity-rubric.md;references/core/personas.md"
